373,Dendroica petechia petechia,Barbados yellow warbler (=wood),1
374,Dermatemys mawii,Central American river turtle,6
375,Dermochelys coriacea,Leatherback sea turtle,6
376,Desmocerus californicus dimorphus,Valley elderberry longhorn beetle,8
377,Dicerorhinus sumatrensis,Sumatran rhinoceros,3
378,Diceros bicornis,Black rhinoceros,3
379,Dinacoma caseyi,Casey's June Beetle,8
380,Diomedia amsterdamensis,Amsterdam Albatross,1
381,Dionda diaboli,Devils River minnow,0
382,Dipodomys heermanni morroensis,Morro Bay kangaroo rat,3
383,Dipodomys ingens,Giant kangaroo rat,3
384,Dipodomys merriami parvus,San Bernardino Merriam's kangaroo rat,3
385,Dipodomys nitratoides exilis,Fresno kangaroo rat,3
386,Dipodomys nitratoides nitratoides,Tipton kangaroo rat,3
387,Dipodomys stephensi (incl. D. cascus),Stephens' kangaroo rat,3
388,Discoglossus nigriventer,Israel painted frog,9
389,Discus macclintocki,Iowa Pleistocene snail,2
390,Drepanis coccinea,`I`iwi,1
391,Drepanoptila holosericea,Cloven-feathered dove,1
392,Dromus dromas,Dromedary pearlymussel,7
393,Drosophila aglaia,Hawaiian picture-wing fly,8
394,Drosophila differens,Hawaiian picture-wing fly,8
395,Drosophila digressa,Hawaiian picture-wing fly,8
396,Drosophila hemipeza,Hawaiian picture-wing fly,8
397,Drosophila heteroneura,Hawaiian picture-wing fly,8
398,Drosophila montgomeryi,Hawaiian picture-wing fly,8
399,Drosophila mulli,Hawaiian picture-wing fly,8
400,Drosophila musaphilia,Hawaiian picture-wing fly,8
401,Drosophila neoclavisetae,Hawaiian picture-wing fly,8
402,Drosophila obatai,Hawaiian picture-wing fly,8
403,Drosophila ochrobasis,Hawaiian picture-wing fly,8
404,Drosophila sharpi,Hawaiian picture-wing fly,8
405,Drosophila substenoptera,Hawaiian picture-wing fly,8
406,Drosophila tarphytrichia,Hawaiian picture-wing fly,8
407,Drymarchon corais couperi,Eastern indigo snake,6
408,Dryocopus javensis richardsi,Tristam's woodpecker,1
409,Ducula galeata,Marquesas pigeon,1
410,Ducula mindorensis,Mindoro imperial (=zone-tailed) pigeon,1
